"","X","zpid","zipcode","latitude","longitude","propertyTaxRate","hasAssociation","age","latestPrice","numPriceChanges","lotSizeSqFt","livingAreaSqFt","avgSchoolRating","numOfBathrooms","numOfBedrooms"
"97",131,29374967,78726,30.4361476898193,-97.8275680541992,1.98,1,28,519900,1,6054,2766,8,3,4
"98",132,2082038175,78725,30.2201499938965,-97.6347045898438,1.98,1,3,341054,2,5000,2643,3,3,4
"99",133,29358997,78750,30.3762092590332,-97.7973175048828,1.98,0,38,428000,10,8537,2576,7,3,3
"100",134,70341359,78725,30.2273674011231,-97.589714050293,1.98,1,17,185000,2,4312,1203,3,2,3
"101",135,185217435,78717,30.4965476989746,-97.7974853515625,2.21,1,14,415000,2,10236,3257,8.33333333333333,4,5
"102",137,83823977,78724,30.2830009460449,-97.6276397705078,1.98,1,13,249900,2,6098,1659,3.66666666666667,3,3
"103",138,70352470,78732,30.3540763854981,-97.9130325317383,1.98,1,16,725000,1,19166.4,3486,8.33333333333333,4,4
"104",141,29465172,78725,30.2245006561279,-97.6287002563477,1.98,0,27,179900,1,14374.8,1500,3,2,3
"105",143,29438720,78753,30.4070892333984,-97.6497497558594,1.98,1,29,310000,1,6795,2046,3,2,4
"106",144,29459899,78725,30.2445297241211,-97.5859451293945,1.98,1,35,155000,1,6534,1411,3,2,3
"107",145,64812856,78725,30.2326469421387,-97.5912017822266,1.98,1,18,189000,1,4704,1892,3,3,3
"108",146,70352465,78732,30.3555526733398,-97.9125442504883,1.98,1,15,1025000,2,28749.6,4558,8.33333333333333,5,5
"109",147,145655881,78744,30.1763916015625,-97.6969604492188,1.98,1,6,339900,1,5488,2095,3.66666666666667,2,3
"110",148,2079153478,78726,30.3995723724365,-97.8432312011719,1.98,1,6,515000,2,8363,2623,7,3,4
"111",149,29366849,78732,30.4152526855469,-97.8889694213867,1.98,1,35,625000,2,27442.8,1947,7,2,2
"112",150,185217434,78717,30.49635887146,-97.797607421875,2.21,1,14,339900,1,9757,2192,8.33333333333333,2,3
"113",151,58265966,78750,30.452693939209,-97.8151473999023,2.21,1,21,650000,1,8319,3352,7.66666666666667,3,5
"114",152,63835398,78724,30.253438949585,-97.5803146362305,1.98,1,18,170000,4,10541,1268,2.66666666666667,2,3
"115",153,70352461,78732,30.3562259674072,-97.9116973876953,1.98,1,13,759900,7,20908.8,4867,8.33333333333333,4,4
"116",154,29396970,78724,30.2884407043457,-97.6476669311523,1.98,1,42,214500,3,6490,1306,3.66666666666667,2,3
"117",155,29438718,78753,30.4073352813721,-97.6495895385742,1.98,1,29,275000,3,6272,2398,3,3,4
"118",156,29370839,78726,30.4262790679932,-97.8606262207031,1.98,1,21,588000,3,8276,4274,7,4,4
"119",158,29376465,78726,30.4422416687012,-97.8214263916016,1.98,1,23,937000,1,36590.4,3695,8.66666666666667,4,4
"120",159,29358978,78750,30.3750247955322,-97.7969436645508,1.98,1,39,595000,2,9796,2448,7,2,4
"121",160,121658390,78725,30.2373523712158,-97.5723495483398,1.98,1,9,169900,1,5314,1250,3,3,2
"122",161,89028960,78732,30.3418960571289,-97.9079437255859,1.98,1,13,625000,4,7797,3485,8.33333333333333,4,5
"123",162,80093467,78724,30.2779998779297,-97.6324996948242,1.98,1,16,235000,6,9147,1526,3.66666666666667,2,3
"124",163,250180857,78744,30.1586284637451,-97.715461730957,1.98,1,5,359900,3,6185,2124,3.66666666666667,2,3
"125",164,29372965,78750,30.4311962127686,-97.8140487670898,1.98,1,30,350000,8,7927,2965,8.66666666666667,3,4
"126",165,185217429,78717,30.4961547851562,-97.7985153198242,2.21,1,14,449000,1,7666,3205,8.33333333333333,4,5
"127",166,89551997,78732,30.3514366149902,-97.9140396118164,1.98,1,14,1799000,2,81021.6,5449,8.33333333333333,5,5
"128",167,29353978,78730,30.3646907806396,-97.8367385864258,1.98,1,23,1499000,1,53143.2,5099,7,5,5
"129",168,2089686965,78724,30.2903728485107,-97.6427764892578,1.98,1,4,425900,1,5837,2403,3.66666666666667,3,3
"130",169,29370836,78726,30.4244117736816,-97.8601531982422,1.98,1,21,595000,1,13068,3939,7,4,5
"131",171,116080928,78717,30.4869842529297,-97.7936172485352,2.21,1,9,729000,1,10585,3409,7.66666666666667,3,4
"132",173,29459882,78725,30.244930267334,-97.5851974487305,1.98,1,35,199000,1,5183,1786,3,2,4
"133",174,2087922352,78744,30.1612052917481,-97.7166137695312,1.98,1,4,365990,3,6969,2289,3.66666666666667,3,3
"134",177,80090962,78724,30.2739429473877,-97.6316986083984,1.98,1,15,265000,4,5662,1704,3.66666666666667,2,3
"135",178,29374964,78726,30.4356632232666,-97.8274230957031,1.98,1,26,445000,4,7013,2852,8,3,3
"136",180,70341343,78725,30.2283496856689,-97.5896835327148,1.98,1,17,95000,8,4486,2088,3,3,4
"137",181,70338381,78724,30.2531070709229,-97.5790634155273,1.98,1,17,179900,2,9234,1206,2.66666666666667,2,3
"138",182,29362475,78750,30.3861598968506,-97.798942565918,1.98,1,34,735000,3,13939.2,3119,7,3,4
"139",183,185217426,78717,30.4957103729248,-97.7973403930664,2.21,1,14,429900,1,8145,2191,8.33333333333333,2,3
"140",185,64533962,78724,30.2902145385742,-97.6475143432617,1.98,1,19,66900,5,5793,1160,3.66666666666667,2,3
"141",186,249710345,78744,30.1587924957275,-97.7144393920898,1.98,1,4,385000,1,6926,2420,3.66666666666667,3,4
"142",187,29459881,78725,30.2450504302979,-97.5851211547852,1.98,1,35,195000,1,5357,2094,3,3,4
"143",188,83814445,78726,30.4284362792969,-97.856819152832,1.98,1,16,1225000,1,33976.8,5027,7,5,4
"144",189,89552136,78725,30.2141551971436,-97.6365356445312,1.98,1,12,194900,2,4748,1096,3,2,3
"145",191,29396959,78724,30.2888717651367,-97.6462783813477,1.98,1,42,229900,1,4617,1320,3.66666666666667,2,3
"146",193,89545951,78732,30.3710918426514,-97.9126052856445,1.98,1,10,5474997,4,116305.2,7740,8.33333333333333,8,6
"147",194,29353975,78730,30.3637218475342,-97.8358306884766,1.98,1,23,1150000,6,45302.4,4878,7,5,5
"148",195,29373963,78750,30.4354763031006,-97.7887268066406,1.98,0,50,609900,2,27007.2,2873,8.66666666666667,3,4
"149",196,79981880,78725,30.239631652832,-97.5785903930664,1.98,1,8,230000,5,7535,1652,3,2,3
"150",197,251035839,78744,30.1521110534668,-97.7196884155273,1.98,1,3,439000,4,7405,2501,3.66666666666667,3,4
"151",198,96636926,78729,30.4633331298828,-97.787956237793,2.21,1,10,375000,2,5837,2406,6,2,3
"152",199,29396958,78724,30.2888946533203,-97.646125793457,1.98,1,42,225000,1,4617,1306,3.66666666666667,2,3
"153",201,29370826,78726,30.4242553710938,-97.8611068725586,1.98,1,33,342000,3,11325.6,1540,7,2,3
"154",202,29360969,78750,30.3798408508301,-97.7901992797852,1.98,1,32,715000,2,30927.6,2463,7,3,3
"155",203,29375962,78750,30.440315246582,-97.7951354980469,1.98,1,27,550000,1,13503.6,2454,8.66666666666667,3,3
"156",204,243333921,78717,30.4921627044678,-97.7975769042969,2.21,1,6,360000,1,10890,1968,8.33333333333333,2,3
"157",205,145657839,78744,30.1769504547119,-97.697624206543,1.98,1,7,284900,4,5488,1821,3.66666666666667,2,3
"158",207,29370822,78726,30.4235877990723,-97.8608245849609,1.98,1,33,413900,3,8712,2218,7,2,3
"159",210,29344952,78733,30.3353004455566,-97.8597106933594,1.98,1,28,585000,1,11761.2,2647,8,3,4
"160",211,29374462,78750,30.4348449707031,-97.8052978515625,1.98,1,46,750000,2,14810.4,2373,8.66666666666667,3,4
"161",212,145658835,78744,30.1767387390137,-97.6942367553711,1.98,1,7,279000,2,4399,1914,3.66666666666667,3,3
"162",213,70341334,78725,30.2279262542725,-97.5904235839844,1.98,1,17,210000,1,4356,2088,3,3,4
"163",214,29370820,78726,30.4235591888428,-97.8604965209961,1.98,1,31,369000,3,7840,1861,7,2,3
"164",215,29392931,78725,30.2826957702637,-97.6613311767578,1.98,0,51,329900,3,9757,1567,3.66666666666667,2,4
"165",216,79981874,78725,30.2404193878174,-97.5787811279297,1.98,1,10,205000,1,7927,1344,3,2,3
"166",217,29344951,78733,30.3351669311523,-97.8594284057617,1.98,1,28,789000,1,12196.8,2410,8,3,4
"167",218,29377461,78726,30.4483985900879,-97.8152465820312,1.98,1,39,649000,2,50529.6,3227,8.66666666666667,4,5
"168",220,124154920,78717,30.4836101531982,-97.7897033691406,2.21,1,6,599000,1,11761.2,3329,7.66666666666667,5,4
"169",221,145658832,78744,30.1775455474854,-97.6953048706055,1.98,1,7,299999,1,6011,2068,3.66666666666667,3,4
"170",222,29370806,78726,30.4232158660889,-97.8588562011719,1.98,1,21,499800,1,11761.2,3304,7,4,4
"171",223,83816428,78724,30.2797603607178,-97.6302719116211,1.98,1,9,238999,1,5749,1670,3.66666666666667,2,3
"172",224,29343454,78746,30.3308639526367,-97.8031845092773,1.98,1,39,915000,2,14374.8,2665,9,3,3
"173",226,64901960,78726,30.4316558837891,-97.8196716308594,1.98,1,18,598000,3,8842,3559,8,4,4
"174",227,29360963,78750,30.3797111511231,-97.7920455932617,1.98,1,37,465000,1,20908.8,2357,7,2.5,3
"175",228,145658831,78744,30.1770668029785,-97.6965942382812,1.98,1,7,305000,1,5445,1982,3.66666666666667,3,3
"176",229,145657822,78725,30.23415184021,-97.5912551879883,1.98,1,7,254000,4,7026,2047,3,2,4
"177",230,64918941,78730,30.3403911590576,-97.8185348510742,1.98,0,18,1299000,4,54450,5307,7,5,4
"178",233,90240442,78732,30.3428268432617,-97.9147109985352,1.98,1,13,379000,5,8232,1943,8.33333333333333,2,4
"179",234,120895447,78732,30.3445816040039,-97.9059295654297,1.98,1,10,649900,1,9626,3689,8.33333333333333,4,4
"180",235,29375958,78750,30.4392070770264,-97.7951965332031,1.98,1,50,525000,2,13068,3650,8.66666666666667,4,4
"181",236,29358963,78750,30.3755359649658,-97.7955474853516,1.98,1,37,359000,5,9931,2498,7,3,4
"182",238,29344947,78733,30.3375110626221,-97.8603973388672,1.98,1,32,714900,1,12196.8,2929,8,3,4
"183",240,89553418,78717,30.4914436340332,-97.7938003540039,2.21,1,13,335000,1,5662,1746,8.33333333333333,2,3
"184",241,144334371,78725,30.2424030303955,-97.5867462158203,1.98,1,36,199950,2,5532,1589,3,2,4
"185",242,29396923,78724,30.2904796600342,-97.6456756591797,1.98,1,17,230000,4,4791,1190,3.66666666666667,2,3
"186",244,114405939,78730,30.3377227783203,-97.8296279907227,1.98,1,10,1100000,5,16552.8,4380,7,4,4
"187",245,29344946,78733,30.3372707366943,-97.8605499267578,1.98,1,28,559500,2,12196.8,2066,8,3,3
"188",246,70338371,78724,30.253454208374,-97.5786209106445,1.98,1,17,199000,8,6534,1704,2.66666666666667,3,3
"189",247,185217414,78717,30.4948406219482,-97.7974166870117,2.21,1,14,379900,12,8276,2960,8.33333333333333,3,4
"190",250,29578456,78729,30.4583511352539,-97.7857818603516,2.21,1,25,330000,4,7000,2084,6,3,3
"191",251,89550945,78733,30.3158721923828,-97.901252746582,1.98,1,13,1050000,1,19166.4,4743,9.33333333333333,5,5
"192",252,58298457,78730,30.3695373535156,-97.8431396484375,1.98,1,21,2650000,2,129373.2,5921,7,5,5
"193",253,29459868,78725,30.2433681488037,-97.5872039794922,1.98,1,35,157000,1,5140,1419,3,2,3
"194",255,83823430,78732,30.3481426239014,-97.9118347167969,1.98,1,15,535000,6,7405,3297,8.33333333333333,4,4
"195",256,29341439,78746,30.3207702636719,-97.8097839355469,1.98,1,22,1589000,8,33976.8,4637,9,4,4
"196",257,83813736,78726,30.4304161071777,-97.8735656738281,1.98,0,16,399000,1,14810.4,1649,7,2,3
"197",259,29377453,78750,30.4449081420898,-97.8075637817383,1.98,1,38,574887,2,13939.2,2698,8.66666666666667,3,4
"198",260,58298456,78730,30.3689289093018,-97.8440399169922,1.98,1,20,1695000,2,102366,4407,7,6,4
"199",261,64455725,78732,30.4115467071533,-97.8768920898438,1.98,1,27,1200000,6,11761.2,2731,7,4,3
"200",262,124842807,78744,30.1758365631104,-97.6947174072266,1.98,1,7,249000,2,4399,1448,3.66666666666667,2,3
"201",263,248957890,78725,30.2195587158203,-97.633430480957,1.98,1,4,310000,2,5662,1370,3,2,3
"202",264,114405941,78732,30.3416805267334,-97.9033203125,1.98,1,10,750000,4,13939.2,4056,8.33333333333333,4,4
"203",265,29377451,78750,30.4443054199219,-97.8076324462891,1.98,1,40,869999,4,16117.2,3542,8.66666666666667,4,4
"204",267,58298866,78750,30.3745594024658,-97.7886505126953,1.98,1,42,475000,2,5052,1490,7,2,3
"205",268,111370914,78724,30.2773761749268,-97.6243515014648,1.98,1,8,239000,6,4617,1510,3.66666666666667,2,3
"206",269,29341434,78746,30.3188228607178,-97.8088912963867,1.98,1,24,1499000,4,47044.8,4707,9,6,5
"207",270,29368693,78732,30.4196758270264,-97.8985366821289,1.98,0,20,2490000,4,85377.6,4147,7,4,4
"208",271,79981862,78725,30.2399082183838,-97.5798873901367,1.98,1,10,131860,1,8799,1598,3,3,3
"209",272,145656291,78744,30.1643867492676,-97.7228927612305,1.98,1,6,395000,2,6534,2515,3.66666666666667,3,4
"210",274,83827917,78732,30.3420791625977,-97.908576965332,1.98,1,12,615000,4,8842,3458,8.33333333333333,4,4
"211",275,241930950,78726,30.43212890625,-97.8423156738281,1.98,1,5,557000,4,14810.4,3013,7,4,4
"212",276,58298454,78730,30.3680191040039,-97.8419418334961,1.98,1,22,975000,7,54885.6,4620,7,4,5
"213",277,70323938,78733,30.3419303894043,-97.8563690185547,1.98,1,16,1399900,1,70567.2,5742,8,4,4
"214",278,2080854860,78725,30.2395915985107,-97.5733184814453,1.98,1,7,2e+05,1,3571,1321,3,3,3
"215",280,29346937,78733,30.340877532959,-97.8821640014648,1.98,1,57,599500,4,41817.6,986,8,1,2
"216",281,29360950,78750,30.3792419433594,-97.7897033691406,1.98,1,28,450000,2,3397,2137,7,2,3
"217",282,145656290,78744,30.1634635925293,-97.7241287231445,1.98,1,6,349000,1,6272,2073,3.66666666666667,3,3
"218",284,29375949,78750,30.4399642944336,-97.7956848144531,1.98,1,50,550000,2,12196.8,2581,8.66666666666667,2,4
"219",285,145655859,78725,30.2390537261963,-97.5774383544922,1.98,1,6,217500,1,7230,1405,3,2,3
"220",286,83819673,78732,30.4158802032471,-97.8929443359375,1.98,1,16,865000,1,11761.2,2895,7,3,3
"221",287,29344936,78733,30.3390960693359,-97.8620834350586,1.98,1,28,565000,2,13503.6,2648,8,3,4
"222",288,29353950,78730,30.3621463775635,-97.7994537353516,1.98,0,23,899900,4,25264.8,3958,7,4,4
"223",290,29344920,78733,30.3372230529785,-97.8466567993164,1.98,1,37,8999000,6,87120,7745,9.33333333333333,8,7
"224",291,89651406,78717,30.4907073974609,-97.7929611206055,2.21,1,13,219900,7,5662,1730,8.33333333333333,3,3
"225",292,2089992289,78744,30.1594696044922,-97.7155838012695,1.98,1,4,338900,4,5967,2177,3.66666666666667,3,4
"226",293,29368449,78750,30.4209785461426,-97.8043823242188,1.98,0,37,545000,9,12632.4,2338,9,2,3
"227",294,89551588,78725,30.2148017883301,-97.6381530761719,1.98,1,9,161940,3,5227,1452,3,2,3
"228",295,80103408,78724,30.2727565765381,-97.6314163208008,1.98,1,14,133000,7,9147,1762,3.66666666666667,2,4
"229",296,29368659,78732,30.4193553924561,-97.8848724365234,1.98,1,31,549500,8,21780,2162,7,3,3
"230",298,58298947,78750,30.3757247924805,-97.8001098632812,1.98,0,38,798500,4,9452,2927,7,4,4
"231",300,58265948,78750,30.4503574371338,-97.8163528442383,2.21,1,20,4e+05,1,10149,3254,7.66666666666667,3,5
"232",301,58297915,78746,30.3228435516357,-97.8060913085938,1.98,1,23,1999000,3,31363.2,5576,9,7,5
"233",302,89548573,78725,30.2139339447021,-97.6374130249023,1.98,1,13,217000,3,6141,1776,3,3,5
"234",303,83123896,78732,30.3694839477539,-97.908073425293,1.98,1,15,7e+05,3,12632.4,4952,8.66666666666667,4,4
"235",305,29355947,78731,30.3650684356689,-97.7858657836914,1.98,1,60,535000,2,16117.2,1707,7,2,3
"236",308,29341415,78746,30.3194923400879,-97.8161087036133,1.98,1,23,1400000,3,42253.2,5234,9,5,5
"237",309,58265946,78750,30.4507846832275,-97.8171920776367,2.21,1,20,480000,1,9365,3282,7.66666666666667,3,4
"238",312,29396905,78724,30.2889041900635,-97.6469802856445,1.98,1,42,225000,3,5357,1320,3.66666666666667,2,3
"239",313,29361022,78750,30.3777275085449,-97.7865829467773,1.98,0,54,849500,2,21780,2667,7,3,4
"240",316,2080460279,78744,30.1626262664795,-97.7193603515625,1.98,1,5,399900,1,9496,2519,3.66666666666667,3,3
